Date,Team,Score,Week,Result,Home or Away,Unix Timestamp
"Sun, Sep 11",New England,`20-7,1,W,Home,
"Sat, Aug 13",Tampa Bay,`26-24,1,W,Away,
"Sun, Sep 18",Baltimore,`42-38,2,W,Away,
"Sat, Aug 20",Las Vegas,`15-13,2,L,Home,
"Sun, Sep 25",Buffalo,`21-19,3,W,Home,
"Sat, Aug 27",Philadelphia,`48-10,3,W,Home,
"Thu, Sep 29",Cincinnati,`27-15,4,L,Away,
"Sun, Oct 9",New York,`40-17,5,L,Away,
"Sun, Oct 16",Minnesota,`24-16,6,L,Home,
"Sun, Oct 23",Pittsburgh,`16-10,7,W,Home,
"Sun, Oct 30",Detroit,`31-27,8,W,Away,
"Sun, Nov 6",Chicago,`35-32,9,W,Away,
"Sun, Nov 13",Cleveland,`39-17,10,W,Home,
BYE WEEK,,,11,,,
"Sun, Nov 27",Houston,`30-15,12,W,Home,
"Sun, Dec 4",San Francisco,`33-17,13,L,Away,
"Sun, Dec 11",Los Angeles,`23-17,14,L,Away,
"Sat, Dec 17",Buffalo,`32-29,15,L,Away,
"Sun, Dec 25 2022 12:00 PM",Green Bay,,16,,Home,1671991200.0
"Sun, Jan 1 2022 12:00 PM",New England,,17,,Away,1641060000.0
