Date,Team,Score,Week,Result,Home or Away,Unix Timestamp
"Sun, Sep 11",Tennessee,`21-20,1,W,Away,
"Thu, Aug 11",New England,`23-21,1,W,Away,
"Sun, Sep 18",Carolina,`19-16,2,W,Home,
"Sun, Aug 21",Cincinnati,`25-22,2,W,Home,
"Mon, Sep 26",Dallas,`23-16,3,L,Home,
"Sun, Aug 28",New York,`31-27,3,L,Away,
"Sun, Oct 2",Chicago,`20-12,4,W,Home,
"Sun, Oct 9",Green Bay *,`27-22,5,W,Home,
"Sun, Oct 16",Baltimore,`24-20,6,W,Home,
"Sun, Oct 23",Jacksonville,`23-17,7,W,Away,
"Sun, Oct 30",Seattle,`27-13,8,L,Away,
BYE WEEK,,,9,,,
"Sun, Nov 13",Houston,`24-16,10,W,Home,
"Sun, Nov 20",Detroit,`31-18,11,L,Home,
"Thu, Nov 24",Dallas,`28-20,12,L,Away,
"Sun, Dec 4",Washington,`20-20 OT,13,T,Home,
"Sun, Dec 11",Philadelphia,`48-22,14,L,Home,
"Sun, Dec 18",Washington,`20-12,15,W,Away,
"Sat, Dec 24 2022 12:00 PM",Minnesota,,16,,Away,1671904800.0
"Sun, Jan 1 2022 12:00 PM",Indianapolis,,17,,Home,1641060000.0
