Date,Team,Score,Week,Result,Home or Away,Unix Timestamp
"Sun, Sep 11",Carolina,`26-24,1,W,Away,
"Fri, Aug 12",Jacksonville,`24-13,1,W,Away,
"Sun, Sep 18",New York,`31-30,2,L,Home,
"Sun, Aug 21",Philadelphia,`21-20,2,L,Home,
"Thu, Sep 22",Pittsburgh,`29-17,3,W,Home,
"Sat, Aug 27",Chicago,`21-20,3,L,Home,
"Sun, Oct 2",Atlanta,`23-20,4,L,Away,
"Sun, Oct 9",Los Angeles,`30-28,5,L,Home,
"Sun, Oct 16",New England,`38-15,6,L,Home,
"Sun, Oct 23",Baltimore,`23-20,7,L,Away,
"Mon, Oct 31",Cincinnati,`32-13,8,W,Home,
BYE WEEK,,,9,,,
"Sun, Nov 13",Miami,`39-17,10,L,Away,
"Sun, Nov 20",Buffalo *,`31-23,11,L,Home,
"Sun, Nov 27",Tampa Bay,`23-17 OT,12,W,Home,
"Sun, Dec 4",Houston,`27-14,13,W,Away,
"Sun, Dec 11",Cincinnati,`23-10,14,L,Away,
"Sat, Dec 17",Baltimore,`13-3,15,W,Home,
"Sat, Dec 24 2022 12:00 PM",New Orleans,,16,,Home,1671904800.0
"Sun, Jan 1 2022 12:00 PM",Washington,,17,,Away,1641060000.0
