Date,Team,Score,Week,Result,Home or Away,Unix Timestamp
"Sun, Sep 11",Chicago,`19-10,1,L,Away,
"Fri, Aug 12",Green Bay,`28-21,1,W,Home,
"Sun, Sep 18",Seattle,`27-7,2,W,Home,
"Sat, Aug 20",Minnesota,`17-7,2,W,Away,
"Sun, Sep 25",Denver,`11-10,3,L,Away,
"Thu, Aug 25",Houston,`17-0,3,L,Away,
"Mon, Oct 3",Los Angeles,`24-9,4,W,Home,
"Sun, Oct 9",Carolina,`37-15,5,W,Away,
"Sun, Oct 16",Atlanta,`28-14,6,L,Away,
"Sun, Oct 23",Kansas City,`44-23,7,L,Home,
"Sun, Oct 30",Los Angeles,`31-14,8,W,Away,
BYE WEEK,,,9,,,
"Sun, Nov 13",Los Angeles,`22-16,10,W,Home,
"Mon, Nov 21",Arizona *,`38-10,11,W,Home,
"Sun, Nov 27",New Orleans,`13-0,12,W,Home,
"Sun, Dec 4",Miami,`33-17,13,W,Home,
"Sun, Dec 11",Tampa Bay,`35-7,14,W,Home,
"Thu, Dec 15",Seattle,`21-13,15,W,Away,
"Sat, Dec 24 2022 3:05 PM",Washington,,16,,Home,1671915900.0
"Sun, Jan 1 2022 3:05 PM",Las Vegas,,17,,Away,1641071100.0
