Date,Team,Score,Result,Home or Away,Unix Timestamp
"Wed, Oct 19",Cleveland,`108-105,W,Home,
"Fri, Oct 21",Brooklyn,`109-105,L,Away,
"Sat, Oct 22",Miami,`112-109,L,Away,
"Mon, Oct 24",Miami,`98-90,W,Away,
"Wed, Oct 26",Philadelphia,`119-109,W,Home,
"Fri, Oct 28",Philadelphia,`112-90,L,Home,
"Mon, Oct 31",Atlanta,`139-109,W,Home,
"Wed, Nov 2",San Antonio,`143-100,W,Away,
"Fri, Nov 4",Dallas,`111-110,L,Away,
"Sun, Nov 6",Chicago,`113-104,W,Home,
"Mon, Nov 7",Chicago,`111-97,L,Away,
"Wed, Nov 9",Houston,`116-109,W,Home,
"Fri, Nov 11",Oklahoma City,`132-113,L,Away,
"Sat, Nov 12",Indiana,`118-104,L,Away,
"Mon, Nov 14",Detroit,`115-111,W,Away,
"Wed, Nov 16",Miami,`112-104,W,Home,
"Sat, Nov 19",Atlanta,`124-122 OT,L,Away,
"Wed, Nov 23",Brooklyn,`112-98,L,Home,
"Sat, Nov 26",Dallas,`105-100,W,Home,
"Mon, Nov 28",Cleveland,`100-88,W,Home,
"Wed, Nov 30",New Orleans,`126-108,L,Away,
"Fri, Dec 2",Brooklyn,`114-105,L,Away,
"Sat, Dec 3",Orlando,`121-108,W,Home,
"Mon, Dec 5",Boston,`116-110,L,Home,
"Wed, Dec 7",Los Angeles,`126-113,W,Home,
"Fri, Dec 9",Orlando,`113-109,L,Away,
"Sun, Dec 11",Orlando,`111-99,L,Away,
"Wed, Dec 14",Sacramento,`124-123,L,Home,
"Fri, Dec 16",Brooklyn,`119-116,L,Home,
"Sun, Dec 18",Golden State,`126-110,L,Home,
"Mon, Dec 19",Philadelphia,`104-101 OT,L,Away,
"Wed, Dec 21",New York,`113-106,W,Away,
"Fri, Dec 23 2022 6:30 PM",Cleveland,,,Away,1671841800.0
"Tue, Dec 27 2022 6:30 PM",LA,,,Home,1672187400.0
"Thu, Dec 29 2022 6:30 PM",Memphis,,,Home,1672360200.0
"Fri, Dec 30 2022 6:30 PM",Phoenix,,,Home,1672446600.0
"Mon, Jan 2 2023 6:00 PM",Indiana,,,Away,1672704000.0
"Wed, Jan 4 2023 6:30 PM",Milwaukee,,,Home,1672878600.0
"Fri, Jan 6 2023 6:30 PM",New York,,,Home,1673051400.0
"Sun, Jan 8 2023 2:30 PM",Portland,,,Home,1673209800.0
"Tue, Jan 10 2023 6:30 PM",Charlotte,,,Home,1673397000.0
"Thu, Jan 12 2023 6:30 PM",Charlotte,,,Home,1673569800.0
"Sat, Jan 14 2023 6:30 PM",Atlanta,,,Home,1673742600.0
"Mon, Jan 16 2023 2:00 PM",New York,,,Away,1673899200.0
"Tue, Jan 17 2023 6:30 PM",Milwaukee,,,Away,1674001800.0
"Thu, Jan 19 2023 7:00 PM",Minnesota,,,Away,1674176400.0
"Sat, Jan 21 2023 4:00 PM",Boston,,,Home,1674338400.0
