Date,Team,Score,Result,Home or Away,Unix Timestamp
"Wed, Oct 19",Indiana,`114-107,W,Away,
"Fri, Oct 21",Chicago,`102-100,W,Home,
"Sun, Oct 23",Cleveland,`117-107 OT,L,Away,
"Tue, Oct 25",Detroit,`120-99,W,Home,
"Fri, Oct 28",Indiana,`127-117,L,Home,
"Sun, Oct 30",Boston,`112-94,L,Away,
"Mon, Oct 31",Philadelphia,`118-111,L,Home,
"Wed, Nov 2",Philadelphia,`121-111,W,Away,
"Fri, Nov 4",Brooklyn,`128-86,L,Home,
"Sun, Nov 6",Memphis,`103-97,L,Away,
"Mon, Nov 7",Charlotte,`108-100,W,Away,
"Thu, Nov 10",Dallas,`113-105,W,Home,
"Sat, Nov 12",Utah,`121-112,W,Home,
"Sun, Nov 13",Memphis,`102-92,W,Home,
"Wed, Nov 16",Oklahoma City,`121-120,L,Home,
"Fri, Nov 18",Miami,`107-106 OT,W,Home,
"Sun, Nov 20",Charlotte,`106-102,W,Home,
"Wed, Nov 23",Miami,`113-105,L,Away,
"Fri, Nov 25",Miami,`110-107,L,Away,
"Sun, Nov 27",Boston,`130-121,L,Away,
"Mon, Nov 28",Minnesota,`142-127,W,Home,
"Wed, Nov 30",Brooklyn,`113-107,L,Away,
"Fri, Dec 2",Charlotte,`117-116,L,Away,
"Sun, Dec 4",Los Angeles,`130-119,L,Home,
"Wed, Dec 7",Chicago,`115-111,L,Away,
"Fri, Dec 9",Indiana,`121-111,L,Away,
"Sat, Dec 10",LA,`114-107,L,Home,
"Mon, Dec 12",Brooklyn,`112-100,L,Home,
"Wed, Dec 14",Denver,`141-128,L,Away,
"Sat, Dec 17",LA,`102-93,L,Away,
"Sun, Dec 18",Los Angeles,`119-117,L,Away,
"Tue, Dec 20",Phoenix,`113-110,W,Away,
"Thu, Dec 22 2022 8:00 PM",Utah,,,Away,1671760800.0
"Fri, Dec 23 2022 9:00 PM",Sacramento,,,Away,1671850800.0
"Tue, Dec 27 2022 6:00 PM",Philadelphia,,,Home,1672185600.0
