Date,Team,Score,Result,Home or Away,Unix Timestamp
"Wed, Oct 19",New York,`115-112 OT,W,Home,
"Fri, Oct 21",Houston,`129-122,W,Away,
"Sat, Oct 22",Dallas,`137-96,L,Away,
"Mon, Oct 24",Brooklyn,`134-124,W,Home,
"Thu, Oct 27",Sacramento,`125-110,W,Away,
"Sat, Oct 29",Utah,`124-123,L,Away,
"Mon, Oct 31",Utah,`121-105,L,Away,
"Wed, Nov 2",Portland,`111-106,W,Away,
"Fri, Nov 4",Charlotte,`130-99,W,Home,
"Sun, Nov 6",Washington,`103-97,W,Home,
"Mon, Nov 7",Boston,`109-106,L,Home,
"Wed, Nov 9",San Antonio,`124-122 OT,W,Away,
"Fri, Nov 11",Minnesota,`114-103,W,Home,
"Sun, Nov 13",Washington,`102-92,L,Away,
"Tue, Nov 15",New Orleans,`113-102,L,Away,
"Fri, Nov 18",Oklahoma City,`121-110,W,Home,
"Sun, Nov 20",Brooklyn,`127-115,L,Away,
"Tue, Nov 22",Sacramento,`113-109,L,Home,
"Fri, Nov 25",New Orleans,`132-111,W,Home,
"Sun, Nov 27",New York,`127-123,W,Away,
"Wed, Nov 30",Minnesota,`109-101,L,Away,
"Fri, Dec 2",Philadelphia,`117-109,W,Home,
"Sun, Dec 4",Detroit,`122-112,W,Away,
"Mon, Dec 5",Miami,`101-93,W,Home,
"Wed, Dec 7",Oklahoma City,`123-102,W,Home,
"Fri, Dec 9",Detroit,`114-103,W,Home,
"Mon, Dec 12",Atlanta,`128-103,W,Home,
"Thu, Dec 15",Milwaukee,`142-101,W,Home,
"Sat, Dec 17",Oklahoma City,`115-109,L,Away,
"Tue, Dec 20",Denver,`105-91,L,Away,
"Fri, Dec 23 2022 9:00 PM",Phoenix,,,Away,1671850800.0
"Sun, Dec 25 2022 7:00 PM",Golden State,,,Away,1672016400.0
"Tue, Dec 27 2022 7:00 PM",Phoenix,,,Home,1672189200.0
"Thu, Dec 29 2022 6:30 PM",Toronto,,,Away,1672360200.0
"Sat, Dec 31 2022 7:00 PM",New Orleans,,,Home,1672534800.0
"Sun, Jan 1 2023 7:00 PM",Sacramento,,,Home,1672621200.0
"Wed, Jan 4 2023 6:00 PM",Charlotte,,,Away,1672876800.0
"Thu, Jan 5 2023 6:00 PM",Orlando,,,Away,1672963200.0
"Sun, Jan 8 2023 5:00 PM",Utah,,,Home,1673218800.0
"Mon, Jan 9 2023 7:00 PM",San Antonio,,,Home,1673312400.0
"Wed, Jan 11 2023 7:00 PM",San Antonio,,,Home,1673485200.0
"Sat, Jan 14 2023 6:00 PM",Indiana,,,Away,1673740800.0
"Mon, Jan 16 2023 5:00 PM",Phoenix,,,Home,1673910000.0
"Wed, Jan 18 2023 7:00 PM",Cleveland,,,Home,1674090000.0
"Fri, Jan 20 2023 9:00 PM",Los Angeles,,,Away,1674270000.0
"Sun, Jan 22 2023 7:00 PM",Phoenix,,,Away,1674435600.0
"Mon, Jan 23 2023 9:30 PM",Sacramento,,,Away,1674531000.0
"Wed, Jan 25 2023 9:00 PM",Golden State,,,Away,1674702000.0
"Fri, Jan 27 2023 6:30 PM",Minnesota,,,Away,1674865800.0
"Sun, Jan 29 2023 5:00 PM",Indiana,,,Home,1675033200.0
"Wed, Feb 1 2023 6:00 PM",Portland,,,Home,1675296000.0
"Thu, Feb 2 2023 6:30 PM",Cleveland,,,Away,1675384200.0
"Sun, Feb 5 2023 5:00 PM",Toronto,,,Home,1675638000.0
"Tue, Feb 7 2023 7:00 PM",Chicago,,,Home,1675818000.0
"Fri, Feb 10 2023 7:00 PM",Minnesota,,,Home,1676077200.0
"Sun, Feb 12 2023 1:00 PM",Boston,,,Away,1676228400.0
"Wed, Feb 15 2023 7:00 PM",Utah,,,Home,1676509200.0
"Thu, Feb 23 2023 6:30 PM",Philadelphia,,,Away,1677198600.0
"Sat, Feb 25 2023 7:00 PM",Denver,,,Home,1677373200.0
"Tue, Feb 28 2023 7:00 PM",Los Angeles,,,Home,1677632400.0
"Wed, Mar 1 2023 7:00 PM",Houston,,,Away,1677718800.0
"Fri, Mar 3 2023 9:00 PM",Denver,,,Away,1677898800.0
"Sun, Mar 5 2023 9:00 PM",LA,,,Away,1678071600.0
"Tue, Mar 7 2023 9:00 PM",Los Angeles,,,Away,1678244400.0
"Thu, Mar 9 2023 9:00 PM",Golden State,,,Home,1678417200.0
"Sat, Mar 11 2023 7:00 PM",Dallas,,,Home,1678582800.0
"Mon, Mar 13 2023 6:30 PM",Dallas,,,Away,1678750200.0
"Wed, Mar 15 2023 6:30 PM",Miami,,,Away,1678923000.0
